index,name,intl_name,brand_name,brand_intl_name,year_month,rank,score,f1,f2,f3,f4,f5,f6,flavour_tags,checkin_count,pictures,id,f_mean
10,大雪乃蔵,Taisetsunokura,北海道,Hokkaido,202001,11,4.011490345001222,0.41078517823741556,0.37814834239605183,0.2768299623170992,0.42075582406038076,0.39909744539891484,0.4707491879564426, 丸み 優しい スイスイ 辛口 旨味 キリリ さわやか フレッシュ 華やか バランス 常温 しっかり スッキリ 甘味,50,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/DaITXKmH84Xwq|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2Zbt4moeAeFSRd|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/z8rQGaK2A0O5R,10,
11,風のささやき,Kazenosasayaki,北海道,Hokkaido,202001,12,4.011301040649413,0.3977981743580671,0.38961461127117664,0.25828172320921594,0.42883729818104954,0.4263265620656744,0.4737581968916195, さらり 優しい 軽快 常温 さっぱり 辛口 旨味 スッキリ 酸味,14,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/4iJDkaaFxHlUP|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2z36bCUpbgsWpD|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2KELTETtL6gK3r,11,
12,十一州,,北海道,Hokkaido,202001,13,4.009419918060304,0.3973979491470842,0.378280274483666,0.281096687035892,0.432639991214652,0.3929361141019813,0.46576954757568173, 昔ながら 控えめ 甘味 穏やか 常温 さっぱり 上品 キリリ 苦味 軽快 余韻 フルーティ 旨味 バランス しっかり キレ さわやか 酸味 辛口,44,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/xzuE1uiCk4A6N|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1dn9nD6maezDpK|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2W6nnc7zPSiEuj,12,
13,まる田,Maruta,北海道,Hokkaido,202001,14,4.009419918060304,0.35443057371493836,0.39504973476133703,0.3335553795471616,0.42532446447313804,0.3966815832758995,0.4417701489555888, あっさり コク 薄い さらり 熱燗 上品 バランス キレ 常温 濃厚 スッキリ 酸味 しっかり 旨味 辛口 甘味,20,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1fUWfmvlEXsYlS|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2eyEjU6PhbbLSB|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2GIaFPMPEMIc3v,13,
14,えぞ乃熊,Ezonokuma,北海道,Hokkaido,202001,15,4.0085296630859375,0.5093879103660583,0.3074086606502533,0.13547669351100922,0.5955144762992859,0.1961180716753006,0.4843244850635529, レモン バナナ マイルド しっかり フルーティ 優しい 甘酸っぱい 柑橘 メロン ガス ふくよか 旨味 柔らかい 軽快 酸味 華やか スッキリ まろやか さっぱり さわやか,46,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2FID8rsIOTu1Bq|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1pQxQ2G9xWzZ1q|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/pcq6CxbaBt5g1,14,0.37137171626091003
15,千歳鶴,Chitosetsuru,北海道,Hokkaido,202001,16,4.0085296630859375,0.3542540967464447,0.17544929683208466,0.32610946893692017,0.38570770621299744,0.5253625512123108,0.5591045618057251, 甘辛い 昔ながら さらり ラム 砂糖 栗 レモン 上品 清涼 辛口 じっくり チョコレート 甘味 綺麗 力強い さわやか スッキリ 心地よい 梨 優しい,83,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2UxPavBfRpzV5X|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1c6VVgWt09xpWF|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1VRy4HpsL69HFo,15,0.3876646136244138
16,宝川,Takaragawa,北海道,Hokkaido,202001,17,4.007885932922363,0.37078995646244345,0.3683286946199005,0.29577326847617896,0.4182829420226338,0.44630105320906527,0.4544565204693044, 芳香 洋梨 派手 力強い キリリ 心地よい 優しい ワイン 旨味 キレ しっかり スッキリ 甘味 酸味 辛口,33,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2RY8qsGHvM51U3|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1SuHEcd1DW8ZCk|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/yS8gkbt5lv1xW,16,
18,田酒,Denshu,青森県,Aomori,202001,1,4.412219047546387,0.4209787845611572,0.3905912041664124,0.2558053135871887,0.4774251282215118,0.4157728552818297,0.4516383409500122, 酸味 旨味 バランス 甘味 フルーティ スッキリ 安定 なめらか 辛口 リンゴ ガス キレ 華やか 穏やか ピリリ 苦味 さわやか 綺麗 余韻 マスカット,1787,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1bnWTUTRAbWrVT|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1Bvq8Xn6sMRTbY|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1Nz44MNqkKDVmW,18,0.4020352711280187
19,陸奥八仙,Mutsuhassen,青森県,Aomori,202001,2,4.1067113876342765,0.5206223726272583,0.42174285650253296,0.1828493624925613,0.3098478317260742,0.4293067157268524,0.4871770441532135, フルーティ 酸味 甘味 華やか リンゴ 辛口 ワイン スッキリ メロン さわやか 旨味 バランス フレッシュ ピリリ キレ さっぱり ガス 芳醇 ジューシー 余韻,1359,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/OMXs77e5g9O9O|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/QVzY3wqepxg1Y|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/kZ0M0YPt5wazc,19,0.39192436387141544
20,豊盃,Hohai,青森県,Aomori,202001,3,4.015214443206787,0.4567195773124695,0.3715261518955231,0.2503316402435303,0.4530506730079651,0.40814077854156494,0.4678416550159454, リンゴ フルーティ 酸味 スッキリ 旨味 キレ 華やか バランス さわやか 控えめ 甘味 苦味 穏やか ほのか 綺麗 スイスイ 軽快 上品 しっかり 冷酒,611,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1W7K0hB6h85l7E|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/TWk89z4aPt4uL|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2hjy44LTDtCh4a,20,0.4012684126694997
